farmID,annualMY,herdSize,annualMYFPCM,AAFC,CI,culling,avLactOnLeaving,costAAFC,costCI,costCull,totalCost,totalLifeDays,FPcorrfactor,milkLifeDays,OEEEffic,lifetimeYieldKgDay,productiveLifetimeYieldKgDay,Cull_L1,Cull_L2,Cull_L3,Cull_L4,Cull_L5,Cull_L6,Cull_L6over,CH4MJdLife,propCH4Milk,propCH4ForLactatingPeriods,eCO2 TyearGWP100,Repeat01,Repeat02,Repeat03,Repeat04,Repeat05,CH4_kgFPCM,CH4ForHeifer,CH4Maint,CH4Milk,CH4Preg+Dry,eCO2GWP100Heifer,eCO2GWP100Maint,eCO2GWP100Milk,eCO2GWP100Preg,eCO2GWP100Total,eCO2GWP*HeiferRearing,eCO2GWP*Maint,eCO2GWP*Milk,eCO2GWP*PregDry,eCO2GWP*Total,BFAnnualAvg,milkProteinAnnualAvg,milkButterFatKgYear,milkProteinKgYear
44,8295,294,7983,844,377,22.5,3.62,2.97,0.43,-0.26,3.13,2194.4,0.96,1156.3,0.53,13.4,25.5,0.13,0.15,0.15,0.3,0.38,0.61,0.67,21.86,0.521,0.791,2.3431,0.4596,0.1018,0.1118,0.2155,0.0305,1.0228,4.8408,5.3201,10.2521,1.4512,0.1018,0.1118,0.2155,0.0305,0.4596,0.35,0.3847,0.7413,0.1049,1.581,3.709,3.267,307.67,271.01
45,7173,76,7370,823,377,13.3,4.63,0.58,0.35,-1.41,-0.49,2490.8,1.03,1417.8,0.57,14.4,25.4,0,0.06,0.06,0.18,0.22,0.33,0.13,22.05,0.517,0.803,2.3533,0.4584,0.0873,0.1201,0.2168,0.0343,1.0202,4.1973,5.7761,10.4306,1.6493,0.0873,0.1201,0.2168,0.0343,0.4584,0.3001,0.413,0.7459,0.1179,1.577,4.2677,3.2238,306.12,231.24
46,7110,224,7077,861,375,18.1,4.05,2.34,0.27,-0.86,1.75,2357,1,1231.6,0.52,12.5,23.9,0.17,0.06,0.16,0.2,0.16,0.13,0.33,20.76,0.491,0.770,2.2555,0.4911,0.107,0.124,0.2174,0.0428,1.0931,4.5216,5.2418,9.1913,1.8082,0.107,0.124,0.2174,0.0428,0.4911,0.3679,0.4265,0.7479,0.1471,1.6895,4.0349,3.1793,286.87,226.03
47,12179,236,12693,710,399,34.5,2.78,-0.35,0.66,0.69,1.01,1787.8,1.04,918.8,0.51,22.2,43.3,0.17,0.33,0.27,0.45,0.6,0.91,0.67,28.8,0.625,0.831,2.8775,0.3691,0.0712,0.0691,0.2087,0.0202,0.8215,5.5512,5.3873,16.285,1.5745,0.0712,0.0691,0.2087,0.0202,0.3691,0.2448,0.2375,0.7181,0.0694,1.2698,4.1969,3.5256,511.14,429.37
48,5398,83,6507,749,430,28.9,2.58,0.22,1.01,0.64,1.86,1764.3,1.21,882.9,0.5,12.5,25,0.31,0.16,0.24,0.4,0.44,0,0,18.81,0.445,0.742,2.1162,0.5572,0.1544,0.1473,0.2209,0.0346,1.24,5.2122,4.9709,7.4573,1.1663,0.1544,0.1473,0.2209,0.0346,0.5572,0.5312,0.5066,0.76,0.1189,1.9166,5.4184,3.6962,292.5,199.53
49,6900,111,7004,866,382,21.3,3.79,1.49,0.52,-0.52,1.48,2285.2,1.02,1192.2,0.52,11.1,21.3,0.12,0.13,0.07,0.27,0.25,0.12,0.32,19.3,0.461,0.761,2.1513,0.5366,0.127,0.1446,0.2217,0.0433,1.1942,4.5686,5.2001,7.9762,1.5588,0.127,0.1446,0.2217,0.0433,0.5366,0.4369,0.4973,0.7627,0.1491,1.8459,4.2175,3.1432,291,216.88
50,10339,288,10531,911,408,38.6,2.54,3.61,0.91,1.12,5.64,1888.9,1.02,836,0.44,16,36.2,0.34,0.21,0.24,0.33,0.53,0.67,0.4,23.26,0.564,0.783,2.4559,0.4273,0.1117,0.0817,0.2109,0.0231,0.9511,6.0796,4.4485,11.4769,1.2546,0.1117,0.0817,0.2109,0.0231,0.4273,0.3842,0.2812,0.7254,0.0793,1.4701,4.17,3.2633,431.14,337.39
51,7330,184,8109,750,398,16.2,3.76,0.29,0.69,-1.04,-0.06,2182,1.11,1203.2,0.55,16.7,30.3,0.04,0.13,0.17,0.2,0.21,0.26,0.11,23.03,0.535,0.803,2.4358,0.4413,0.0859,0.1074,0.2146,0.0334,0.9821,4.486,5.6036,11.1994,1.7443,0.0859,0.1074,0.2146,0.0334,0.4413,0.2957,0.3693,0.7381,0.115,1.518,4.8647,3.2964,356.57,241.62
52,12467,749,12086,751,378,45.2,2.54,1.17,0.27,1.45,2.89,1698.6,0.97,810.3,0.48,17.9,37.5,0.31,0.4,0.34,0.4,0.52,0.5,0.4,26.11,0.593,0.806,2.673,0.3958,0.0904,0.075,0.2094,0.0212,0.8809,5.9608,4.9457,13.8106,1.3954,0.0904,0.075,0.2094,0.0212,0.3958,0.3108,0.2579,0.7202,0.0728,1.3617,3.6942,3.3819,460.56,421.63
53,10500,447,11122,752,376,22.8,3.41,0.74,0.25,-0.18,0.82,2007.5,1.06,1105.7,0.55,20.9,37.9,0.08,0.15,0.28,0.32,0.34,0.4,0.6,27.16,0.602,0.833,2.739,0.3805,0.0718,0.0806,0.2097,0.0183,0.8468,5.1227,5.7555,14.9708,1.3089,0.0718,0.0806,0.2097,0.0183,0.3805,0.2469,0.2774,0.7215,0.0631,1.3089,4.3434,3.5132,456.05,368.89
54,8904,78,9065,1055,398,29.7,3.4,1.47,0.73,0.46,2.66,2292.8,1.02,1037.7,0.45,14.1,31.1,0.26,0.22,0.13,0.18,0.26,0.5,0.22,21.42,0.532,0.771,2.3108,0.4573,0.1183,0.0957,0.2129,0.0304,1.0178,5.5419,4.4837,9.972,1.4215,0.1183,0.0957,0.2129,0.0304,0.4573,0.407,0.3293,0.7324,0.1044,1.5732,4.1744,3.2499,371.68,289.36
55,10665,263,10876,869,392,22.4,4.14,2.19,0.66,-0.21,2.64,2440.9,1.02,1357.6,0.56,20.3,36.4,0.11,0.1,0.21,0.23,0.25,0.44,0.43,27.28,0.607,0.838,2.7452,0.3778,0.0658,0.0801,0.2107,0.0213,0.8409,4.7507,5.7844,15.2135,1.5361,0.0658,0.0801,0.2107,0.0213,0.3778,0.2263,0.2756,0.7247,0.0732,1.2998,4.1663,3.2846,444.36,350.32
56,10199,184,9714,856,403,22.8,3.75,1.56,0.98,-0.2,2.34,2326.8,0.95,1227.7,0.53,15.9,30,0.13,0.17,0.26,0.18,0.22,0.58,0.17,24.34,0.568,0.812,2.5363,0.417,0.0814,0.092,0.2133,0.0302,0.928,4.7513,5.3708,12.4503,1.7645,0.0814,0.092,0.2133,0.0302,0.417,0.28,0.3165,0.7338,0.104,1.4344,3.6252,3.2725,369.75,333.77
57,9578,113,9912,824,426,24.6,4,0.52,1.41,-0.04,1.89,2378.5,1.03,1345.8,0.57,20.8,36.7,0.1,0.11,0.42,0.04,0.36,0.43,0.18,27.5,0.607,0.839,2.7593,0.3763,0.064,0.0805,0.2106,0.0211,0.8374,4.6779,5.884,15.3937,1.5457,0.064,0.0805,0.2106,0.0211,0.3763,0.2202,0.2769,0.7245,0.0728,1.2944,4.2665,3.3208,408.65,318.07
58,8406,110,10138,855,397,23.5,3.73,1.01,0.76,-0.15,1.62,2238.8,1.21,1134.7,0.51,21.2,41.8,0.1,0.19,0.21,0.36,0.18,0.4,0.4,24.98,0.579,0.809,2.587,0.4031,0.0801,0.0832,0.2092,0.0305,0.897,4.9649,5.1574,12.9678,1.8921,0.0801,0.0832,0.2092,0.0305,0.4031,0.2756,0.2862,0.7197,0.105,1.3865,5.364,3.7908,450.9,318.66
59,9029,236,9503,812,399,25.3,3.98,1.47,1.17,0.03,2.67,2360.1,1.05,1313.7,0.56,18.5,33.2,0.14,0.13,0.19,0.29,0.33,0.53,0.55,25.16,0.576,0.824,2.593,0.4043,0.0729,0.0919,0.2122,0.0273,0.8998,4.5369,5.7194,13.2045,1.6961,0.0729,0.0919,0.2122,0.0273,0.4043,0.2508,0.3162,0.73,0.0938,1.3909,4.3559,3.4061,393.29,307.53
60,9754,366,10103,809,405,23.9,3.04,2.12,0.78,-0.1,2.8,1973.7,1.04,1029.8,0.52,17.8,34.1,0.18,0.09,0.31,0.33,0.48,0.33,0.55,24.94,0.573,0.810,2.5656,0.4083,0.0887,0.0881,0.2123,0.0192,0.9088,5.4184,5.3798,12.968,1.172,0.0887,0.0881,0.2123,0.0192,0.4083,0.3052,0.303,0.7304,0.066,1.4047,4.3197,3.2489,421.32,316.88
61,9807,170,10667,810,374,26.9,3.18,0.88,0.22,0.17,1.26,1975.8,1.09,1031.6,0.52,19.3,37,0.19,0.13,0.16,0.25,0.4,0.46,0.4,25.33,0.579,0.814,2.5969,0.4002,0.0859,0.0855,0.2103,0.0184,0.8906,5.4385,5.4132,13.3152,1.1667,0.0859,0.0855,0.2103,0.0184,0.4002,0.2955,0.2941,0.7235,0.0634,1.3766,4.5906,3.4897,450.18,342.22
62,10913,112,11209,776,381,32.2,3.03,0.4,0.4,0.59,1.39,1891.5,1.03,941.8,0.5,18.8,37.8,0.13,0.24,0.32,0.38,0.46,#N/A,0,26.02,0.586,0.806,2.654,0.3967,0.0841,0.0788,0.2096,0.0242,0.8829,5.5161,5.1697,13.7505,1.5885,0.0841,0.0788,0.2096,0.0242,0.3967,0.2892,0.2711,0.721,0.0833,1.3646,4.2116,3.3075,459.6,360.94
63,7185,294,7415,744,383,29.7,3.71,0.39,0.86,0.59,1.84,2144.4,1.03,1124.6,0.52,13.6,25.9,0.17,0.17,0.24,0.25,0.28,0.25,0.4,21.33,0.500,0.775,2.3152,0.4805,0.0996,0.1185,0.2156,0.0468,1.0694,4.4205,5.2603,9.5741,2.0799,0.0996,0.1185,0.2156,0.0468,0.4805,0.3425,0.4076,0.7418,0.1611,1.653,4.065,3.6022,292.08,258.83
64,7447,328,7812,872,369,51.5,2.81,5.73,0.15,3.16,9.04,1897.6,1.05,830.8,0.44,12.3,28,0.39,0.31,0.26,0.32,0.32,0.77,0.67,19.68,0.482,0.735,2.1902,0.513,0.1444,0.1128,0.2137,0.0421,1.1416,5.5407,4.3273,8.1988,1.614,0.1444,0.1128,0.2137,0.0421,0.513,0.4968,0.388,0.7351,0.1447,1.7647,4.3351,3.3931,322.85,252.69
65,11899,421,12288,744,377,30.6,3.49,0.38,0.32,0.43,1.13,2051.3,1.03,1094.7,0.53,22,41.3,0.12,0.16,0.32,0.39,0.5,0.43,0.5,28.74,0.623,0.836,2.8695,0.3678,0.0643,0.0716,0.2085,0.0235,0.8185,5.021,5.5911,16.2874,1.8362,0.0643,0.0716,0.2085,0.0235,0.3678,0.2211,0.2462,0.7171,0.0808,1.2652,4.1963,3.4038,499.31,405.02
